  Корень   Интервал
 1. 4.8350 [ 4, 5]
 2. 3.3778 [ 3, 4]
 3. 3.1240 [ 3, 4]
 4. 0.6555 [ 0, 1]
 5. 0.6996 [ 0, 1]
 6. 2.3090 [ 2, 3]
 7. 2.4273 [ 2, 3]
 8. 4.5390 [ 4, 5]
 9. 2.1905 [ 2, 3]
10. 4.6107 [ 4, 5]
11.-0.5821 [-1, 0]
12.-0.5912 [-1, 0]
13. 2.5056 [ 2, 3]
14. 7.7348 [ 7, 8]
15. 4.5356 [ 4, 5]
16. 2.1552 [ 2, 3]
17. 2.3987 [ 2, 3]
18.-2.7767 [-3,-2]
19. 3.8882 [ 3, 4]
20. 0.4852 [ 0, 1]
21. 2.4406 [ 2, 3]
22. 0.6848 [ 0, 1]
23. 2.4666 [ 2, 3]
24. 1.3887 [ 1, 2]
25. 6.6890 [ 6, 7]
26. 4.6161 [ 4, 5]
27. 1.5465 [ 1, 2]
28.-8.1400 [-9,-8]
29.12.3600 [12,13]
30.-0.0345 [-1, 0]
31. 5.7402 [ 5, 6]
32. 0.1314 [ 0, 1]
33.-0.4518 [-1, 0]
34. 0.8331 [ 0, 1]
35. 9.9779 [ 9,10]
36.-8.7087 [-9,-8]
37. 2.1410 [ 2, 3]
38. 1.1707 [ 1, 2]
39.-3.2049 [-4,-3]
40. 2.5510 [ 2, 3]
41. 0.4754 [ 0, 1]
42.-3.4243 [-4,-3]
43. 2.4852 [ 2, 3]
44. 2.5416 [ 2, 3]
